一级单位,二级单位,三级单位,清单ID,排放源名称,清单属性,上级排放源序号,上级排放源名称,上级排放源编号
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1163,烧结机17#小格漏斗至S-5落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1164,F101卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1165,F102卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1166,F103卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1167,F104卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1168,F105卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1169,F106卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1170,F107卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1171,F108卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1172,F109卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1173,F110卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1174,F111卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1175,F112卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1176,F113卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1177,F114卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1178,F115卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1179,F116卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1180,F117卸灰阀至S-3落料,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1181,S-6皮带给料接S-3皮带,简单运输,上级排放源名称1,4#机尾除尘灰落料至S-6皮带,JSSG_QD_YS4_1183
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1182,S-3皮带受料（S-6给料）,简单运输,上级排放源名称1,S-6皮带给料接S-3皮带,JSSG_QD_YS4_1181
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1183,4#机尾除尘灰落料至S-6皮带,简单运输,上级排放源名称1,@YS4_4S_4#烧结机,JSSG_QD_YS4_2020
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1184,S-5皮带机头给料接SZ7-1皮带,简单运输,上级排放源名称1,烧结机1#小格漏斗至S-5落料,JSSG_QD_YS4_1147
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1185,单辊破至烧结环冷落料,简单运输,上级排放源名称1,4#烧结机单辊破,JSSG_QD_YS4_2003
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1186,环冷机至板式给矿机落料,简单运输,上级排放源名称1,4#烧结机环冷机,JSSG_QD_YS4_2004
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1187,板式给矿机给料接SZ7-1皮带,简单运输,上级排放源名称1,环冷机至板式给矿机落料,JSSG_QD_YS4_1186
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1188,SZ7-1皮带受料点（板式给矿机给料）,简单运输,上级排放源名称1,板式给矿机给料接SZ7-1皮带,JSSG_QD_YS4_1187
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1189,环冷机撒料至SZ7-1,简单运输,上级排放源名称1,4#烧结机环冷机,JSSG_QD_YS4_2004
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1190,环冷机撒料至小车,简单运输,上级排放源名称1,4#烧结机环冷机,JSSG_QD_YS4_2004
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1191,SZ7-1皮带给料接LS-1G,简单运输,上级排放源名称1,环冷机撒料至SZ7-1,JSSG_QD_YS4_1189
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1192,LS-1G皮带机尾受料（SZ7-1给料）,简单运输,上级排放源名称1,SZ7-1皮带给料接LS-1G,JSSG_QD_YS4_1191
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1562,@YS4_燃料仓库RCZ1#仓,料仓,上级排放源名称1,RC-1布料小车至燃料仓库落料（1-5#仓）,JSSG_QD_YS4_1260
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1563,@YS4_燃料仓库RCZ2#仓,料仓,上级排放源名称1,RC-1布料小车至燃料仓库落料（1-5#仓）,JSSG_QD_YS4_1260
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1564,@YS4_燃料仓库RCZ3#仓,料仓,上级排放源名称1,RC-1布料小车至燃料仓库落料（1-5#仓）,JSSG_QD_YS4_1260
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1565,@YS4_燃料仓库RCZ4#仓,料仓,上级排放源名称1,RC-1布料小车至燃料仓库落料（1-5#仓）,JSSG_QD_YS4_1260
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1566,@YS4_燃料仓库RCZ5#仓,料仓,上级排放源名称1,RC-1布料小车至燃料仓库落料（1-5#仓）,JSSG_QD_YS4_1260
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1193,RP-1皮带机头给料接RP-2,简单运输,上级排放源名称1,@YS4_燃料仓库RCZ1#仓,JSSG_QD_YS4_1562
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1194,RP-2皮带受料（RP-1给料）,简单运输,上级排放源名称1,RP-1皮带机头给料接RP-2,JSSG_QD_YS4_1193
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1195,PR-2皮带落料进仓（4个点）,简单运输,上级排放源名称1,RP-2皮带受料（RP-1给料）,JSSG_QD_YS4_1194
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1567,@YS4_燃破1#仓,料仓,上级排放源名称1,PR-2皮带落料进仓（4个点）,JSSG_QD_YS4_1195
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1568,@YS4_燃破2#仓,料仓,上级排放源名称1,PR-2皮带落料进仓（4个点）,JSSG_QD_YS4_1195
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1569,@YS4_燃破3#仓,料仓,上级排放源名称1,PR-2皮带落料进仓（4个点）,JSSG_QD_YS4_1195
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1570,@YS4_燃破4#仓,料仓,上级排放源名称1,PR-2皮带落料进仓（4个点）,JSSG_QD_YS4_1195
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1196,4#仓至RP-8皮带落料,简单运输,上级排放源名称1,@YS4_燃破4#仓,JSSG_QD_YS4_1570
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1197,RP-8皮带给料接RP-8对辊破碎机,简单运输,上级排放源名称1,4#仓至RP-8皮带落料,JSSG_QD_YS4_1196
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1198,3#仓至RP-7皮带落料,简单运输,上级排放源名称1,@YS4_燃破3#仓,JSSG_QD_YS4_1569
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1199,RP-7皮带给料接RP-7对辊破碎机,简单运输,上级排放源名称1,3#仓至RP-7皮带落料,JSSG_QD_YS4_1198
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1200,2#仓至RP-4皮带落料,简单运输,上级排放源名称1,@YS4_燃破2#仓,JSSG_QD_YS4_1568
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1201,RP-4皮带给料接RP-4对辊破碎机,简单运输,上级排放源名称1,2#仓至RP-4皮带落料,JSSG_QD_YS4_1200
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1202,1#仓至RP-3皮带落料,简单运输,上级排放源名称1,@YS4_燃破1#仓,JSSG_QD_YS4_1567
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1203,RP-3皮带给料接RP-3对辊破碎机,简单运输,上级排放源名称1,1#仓至RP-3皮带落料,JSSG_QD_YS4_1202
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1204,RP-8对辊破碎受料（RP-8给料）,简单运输,上级排放源名称1,RP-8皮带给料接RP-8对辊破碎机,JSSG_QD_YS4_1197
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1205,RP-7对辊破碎受料（RP-7给料）,简单运输,上级排放源名称1,RP-7皮带给料接RP-7对辊破碎机,JSSG_QD_YS4_1199
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1206,RP-4对辊破碎受料（RP-4给料）,简单运输,上级排放源名称1,RP-4皮带给料接RP-4对辊破碎机,JSSG_QD_YS4_1201
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1207,RP-3对辊破碎受料（RP-3给料）,简单运输,上级排放源名称1,RP-3皮带给料接RP-3对辊破碎机,JSSG_QD_YS4_1203
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1208,RP-10皮带受料（RP-8皮带给料）,简单运输,上级排放源名称1,RP-8对辊破碎机,JSSG_QD_YS4_2005
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1209,RP-9皮带受料（RP-7皮带给料）,简单运输,上级排放源名称1,RP-7对辊破碎机,JSSG_QD_YS4_2006
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1210,RP-6皮带受料（RP-4皮带给料）,简单运输,上级排放源名称1,RP-4对辊破碎机,JSSG_QD_YS4_2007
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1211,RP-5皮带受料（RP-3皮带给料）,简单运输,上级排放源名称1,RP-3对辊破碎机,JSSG_QD_YS4_2008
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1212,RP-10皮带给料接RP-10四辊破碎,简单运输,上级排放源名称1,RP-10皮带受料（RP-8皮带给料）,JSSG_QD_YS4_1208
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1213,RP-9皮带给料接RP-9四辊破碎,简单运输,上级排放源名称1,RP-9皮带受料（RP-7皮带给料）,JSSG_QD_YS4_1209
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1214,RP-6皮带给料接RP-6四辊破碎,简单运输,上级排放源名称1,RP-6皮带受料（RP-4皮带给料）,JSSG_QD_YS4_1210
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1215,RP-5皮带给料接RP-5四辊破碎,简单运输,上级排放源名称1,RP-5皮带受料（RP-3皮带给料）,JSSG_QD_YS4_1211
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1216,RP-10四辊破碎受料（RP-10给料）,简单运输,上级排放源名称1,RP-10皮带给料接RP-10四辊破碎,JSSG_QD_YS4_1212
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1217,RP-9四辊破碎受料（RP-9给料）,简单运输,上级排放源名称1,RP-9皮带给料接RP-9四辊破碎,JSSG_QD_YS4_1213
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1218,RP-6四辊破碎受料（RP-6给料）,简单运输,上级排放源名称1,RP-6皮带给料接RP-6四辊破碎,JSSG_QD_YS4_1214
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1219,RP-5四辊破碎受料（RP-5给料）,简单运输,上级排放源名称1,RP-5皮带给料接RP-5四辊破碎,JSSG_QD_YS4_1215
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1220,Z3-1皮带受料（RP-10四辊破碎给料）,简单运输,上级排放源名称1,RP-10四辊破碎机,JSSG_QD_YS4_2009
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1221,Z3-1皮带受料（RP-9四辊破碎给料）,简单运输,上级排放源名称1,RP-9四辊破碎机,JSSG_QD_YS4_2010
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1222,Z3-1皮带受料（RP-6四辊破碎给料）,简单运输,上级排放源名称1,RP-6四辊破碎机,JSSG_QD_YS4_2011
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1223,Z3-1皮带受料（RP-5四辊破碎给料）,简单运输,上级排放源名称1,RP-5四辊破碎机,JSSG_QD_YS4_2012
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1224,8SZ3-1皮带机头给料接9-1,简单运输,上级排放源名称1,4#机一系列筛子,JSSG_QD_YS4_2013
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1225,9-1皮带受料（8SZ3-1给料）,简单运输,上级排放源名称1,8SZ3-1皮带机头给料接9-1,JSSG_QD_YS4_1224
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1226,应急落料至9-1皮带,简单运输,上级排放源名称1,LS-3G受料（LS-1G给料）,JSSG_QD_YS4_1240
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1227,6-2皮带机尾受料（LS-4给料）,简单运输,上级排放源名称1,LS-4皮带机头给料接6-2/9-1,JSSG_QD_YS4_1230
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1228,9-1皮带受料点（LS-4给料）,简单运输,上级排放源名称1,LS-4皮带机头给料接6-2/9-1,JSSG_QD_YS4_1230
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1229,9-1皮带受料点（LS-5给料）,简单运输,上级排放源名称1,LS-5皮带机头给料接9-1,JSSG_QD_YS4_1233
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1230,LS-4皮带机头给料接6-2/9-1,简单运输,上级排放源名称1,4#机一系列筛子,JSSG_QD_YS4_2013
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1586,@YS4_4S_Z9-1皮带机头,简单运输,上级排放源名称1,9-1皮带受料（8SZ3-1给料）,JSSG_QD_YS4_1225
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1231,4#机一系列筛子二次筛出料口至LS-4落料,简单运输,上级排放源名称1,4#机一系列筛子,JSSG_QD_YS4_2013
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1232,4#机二系列筛子二次筛出料口至LS-4落料,简单运输,上级排放源名称1,4#机二系列筛子,JSSG_QD_YS4_2014
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1233,LS-5皮带机头给料接9-1,简单运输,上级排放源名称1,4#机一系列筛子二次筛出料口至LS-5落料,JSSG_QD_YS4_1234
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1234,4#机一系列筛子二次筛出料口至LS-5落料,简单运输,上级排放源名称1,4#机一系列筛子,JSSG_QD_YS4_2013
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1235,4#机二系列筛子二次筛出料口至LS-5落料,简单运输,上级排放源名称1,4#机二系列筛子,JSSG_QD_YS4_2014
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1236,4#机一系列筛子受料（LS-1G给料）,简单运输,上级排放源名称1,LS-1G给料接4#机一系列筛/LS-3G,JSSG_QD_YS4_1241
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1237,4#机二系列筛子受料（LS-3G给料）,简单运输,上级排放源名称1,LS-3G给料接4#机二系列筛,JSSG_QD_YS4_1511
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1238,8#机一系列筛子受料（LS-6给料）,简单运输,上级排放源名称1,LS-6皮带机头给料接8#机筛,JSSG_QD_YS4_1242
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1239,8#机二系列筛子受料（LS-6给料）,简单运输,上级排放源名称1,LS-6皮带机头给料接8#机筛,JSSG_QD_YS4_1242
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1240,LS-3G受料（LS-1G给料）,简单运输,上级排放源名称1,LS-1G给料接4#机一系列筛/LS-3G,JSSG_QD_YS4_1241
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1241,LS-1G给料接4#机一系列筛/LS-3G,简单运输,上级排放源名称1,LS-1G皮带机尾受料（SZ7-1给料）,JSSG_QD_YS4_1192
原料烧结厂,原料烧结厂四车间,8#烧结,JSSG_QD_YS4_1242,LS-6皮带机头给料接8#机筛,简单运输,上级排放源名称1,8SZ1-1皮带机头给料接LS-6,JSSG_QD_YS4_1432
原料烧结厂,原料烧结厂四车间,8#烧结,JSSG_QD_YS4_1243,8#机一系列筛子二次筛出料口至8SZ2-1落料,简单运输,上级排放源名称1,8#机一系列筛子,JSSG_QD_YS4_2015
原料烧结厂,原料烧结厂四车间,8#烧结,JSSG_QD_YS4_1244,8#机二系列筛子二次筛出料口至8SZ2-1落料,简单运输,上级排放源名称1,8#机二系列筛子,JSSG_QD_YS4_2016
原料烧结厂,原料烧结厂四车间,8#烧结,JSSG_QD_YS4_1245,8#机一系列筛子二次筛出料口至8CP-1落料,简单运输,上级排放源名称1,8#机一系列筛子,JSSG_QD_YS4_2015
原料烧结厂,原料烧结厂四车间,8#烧结,JSSG_QD_YS4_1247,8#机二系列筛子二次筛出料口至8CP-1落料,简单运输,上级排放源名称1,8#机二系列筛子,JSSG_QD_YS4_2016
原料烧结厂,原料烧结厂四车间,8#烧结,JSSG_QD_YS4_1571,@YS4_8S_8H1-1机头,简单运输,上级排放源名称1,8H1-1受料（1#电子秤给料）,JSSG_QD_YS4_1090
原料烧结厂,原料烧结厂四车间,8#烧结,JSSG_QD_YS4_1248,8H-1皮带给料至一次混合机,简单运输,上级排放源名称1,@YS4_8S_8H1-1机头,JSSG_QD_YS4_1571
原料烧结厂,原料烧结厂四车间,8#烧结,JSSG_QD_YS4_1249,一次混合机出口至8H2-1落料,简单运输,上级排放源名称1,8#烧结机一次混合机,JSSG_QD_YS4_2017
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1250,燃料仓库5#至给料机至RP-1落料,简单运输,上级排放源名称1,@YS4_燃料仓库RCZ5#仓,JSSG_QD_YS4_1566
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1251,燃料仓库4#至给料机至RP-1落料,简单运输,上级排放源名称1,@YS4_燃料仓库RCZ4#仓,JSSG_QD_YS4_1565
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1252,燃料仓库3#至给料机至RP-1落料,简单运输,上级排放源名称1,@YS4_燃料仓库RCZ3#仓,JSSG_QD_YS4_1564
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1253,燃料仓库2#至给料机至RP-1落料,简单运输,上级排放源名称1,@YS4_燃料仓库RCZ2#仓,JSSG_QD_YS4_1563
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1254,燃料仓库1#至给料机至RP-1落料,简单运输,上级排放源名称1,@YS4_燃料仓库RCZ1#仓,JSSG_QD_YS4_1562
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1255,9-3皮带机尾受料（9-1皮带给料）,简单运输,上级排放源名称1,9-1皮带机头给料接9-3,JSSG_QD_YS4_1263
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1256,9-3皮带机尾受料（9-2皮带给料）,简单运输,上级排放源名称1,9-2皮带机头给料接9-3,JSSG_QD_YS4_1262
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1257,9-3皮带机头给料接RC-1皮带,简单运输,上级排放源名称1,9-3皮带机尾受料（9-1皮带给料）,JSSG_QD_YS4_1255
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1258,RC-1皮带机尾受料（9-3给料）,简单运输,上级排放源名称1,9-3皮带机头给料接RC-1皮带,JSSG_QD_YS4_1257
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1259,RC-1皮带给料至布料小车,简单运输,上级排放源名称1,RC-1皮带机尾受料（9-3给料）,JSSG_QD_YS4_1258
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1260,RC-1布料小车至燃料仓库落料（1-5#仓）,简单运输,上级排放源名称1,RC-1皮带给料至布料小车,JSSG_QD_YS4_1259
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1261,RC-1皮带头轮,简单运输,上级排放源名称1,RC-1皮带机尾受料（9-3给料）,JSSG_QD_YS4_1258
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1262,9-2皮带机头给料接9-3,简单运输,上级排放源名称1,9-2皮带机尾受料（16-1给料）,JSSG_QD_YS4_1476
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1263,9-1皮带机头给料接9-3,简单运输,上级排放源名称1,9-1皮带机尾受料（16-4给料）,JSSG_QD_YS4_1264
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1264,9-1皮带机尾受料（16-4给料）,简单运输,上级排放源名称1,SZ16-4皮带给料接,JSSG_QD_YS8_1267
原料烧结厂,原料烧结厂四车间,高炉直供系统,JSSG_QD_YS4_1265,10-3皮带机尾受料（16-3给料）,简单运输,上级排放源名称1,16-3皮带机头给料接10-3,JSSG_QD_YS4_1474
原料烧结厂,原料烧结厂四车间,高炉直供系统,JSSG_QD_YS4_1266,10-2皮带机尾受料（16-2给料）,简单运输,上级排放源名称1,16-2给料接10-2,JSSG_QD_YS4_1473
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1267,10-1皮带机尾受料（16-4给料）,简单运输,上级排放源名称1,16-4皮带机头给料接10-1,JSSG_QD_YS4_1475
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1268,10-1皮带机尾受料（16-1G给料）,简单运输,上级排放源名称1,16-1G给料接10-1皮带,JSSG_QD_YS4_1472
原料烧结厂,原料烧结厂四车间,YS4供料系统,JSSG_QD_YS4_1269,10-1皮带机头给料接PL-2G,简单运输,上级排放源名称1,10-1皮带机尾受料（16-4给料）,JSSG_QD_YS4_1267
原料烧结厂,原料烧结厂四车间,高炉直供系统,JSSG_QD_YS4_1270,10-2皮带机头给料接13-2,简单运输,上级排放源名称1,10-2皮带机尾受料（16-2给料）,JSSG_QD_YS4_1266
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1271,10-4皮带机头给料接11-1,简单运输,上级排放源名称1,10-4皮带受料,JSSG_QD_YS4_1477
原料烧结厂,原料烧结厂四车间,高炉直供系统,JSSG_QD_YS4_1272,10-3皮带机头给料接13-3,简单运输,上级排放源名称1,10-3皮带机尾受料（16-3给料）,JSSG_QD_YS4_1265
原料烧结厂,原料烧结厂四车间,高炉直供系统,JSSG_QD_YS4_1273,13-3皮带机尾受料（10-3）,简单运输,上级排放源名称1,10-3皮带机头给料接13-3,JSSG_QD_YS4_1272
原料烧结厂,原料烧结厂四车间,高炉直供系统,JSSG_QD_YS4_1274,13-2皮带机尾受料（10-2给料）,简单运输,上级排放源名称1,10-2皮带机头给料接13-2,JSSG_QD_YS4_1270
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1275,13-1皮带受料（10-4给料）,简单运输,上级排放源名称1,10-4皮带机头给料接11-1,JSSG_QD_YS4_1271
原料烧结厂,原料烧结厂四车间,高炉直供系统,JSSG_QD_YS4_1276,13-1皮带受料（七车间13-1给料）,简单运输,上级排放源名称1,七车间13-1,跨区域，编号待定
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1277,11-1皮带机尾受料（10-4给料）,简单运输,上级排放源名称1,10-4皮带机头给料接11-1,JSSG_QD_YS4_1271
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1278,11-1皮带机头给料接CP-1,简单运输,上级排放源名称1,11-1皮带机尾受料（10-4给料）,JSSG_QD_YS4_1277
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1279,CP-1皮带机尾受料（11-1给料）,简单运输,上级排放源名称1,11-1皮带机头给料接CP-1,JSSG_QD_YS4_1278
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1280,CP-1皮带机头给料接布料小车,简单运输,上级排放源名称1,CP-1皮带机尾受料（11-1给料）,JSSG_QD_YS4_1279
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1281,布料小车给料进仓（1#-6#）,简单运输,上级排放源名称1,PL-9皮带给料进仓,JSSG_QD_YS4_1462
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1282,CP-1皮带头轮,简单运输,上级排放源名称1,CP-1皮带机尾受料（11-1给料）,JSSG_QD_YS4_1279
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1580,@YS4_4S_成品1#仓,料仓,上级排放源名称1,8CP-2皮带受料（8CP-1给料）,JSSG_QD_YS4_1481
原料烧结厂,原料烧结厂四车间,4#烧结,JSSG_QD_YS4_1283,4#机成品1#仓至给料机至12-1皮带,简单运输,上级排放源名称1,@YS4_4S_成品1#仓,JSSG_QD_YS4_1580
