一级单位,二级单位,三级单位,清单ID,排放源名称,清单属性,上级排放源序号,上级排放源名称,上级排放源编号
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1036,G202R机头,简单运输,上级排放源名称1,G201皮带至G202R皮带落料点,JSSG_QD_YS1_1159
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1037,G101R机头,简单运输,上级排放源名称1,老Y102至G101R皮带落料点,JSSG_QD_YS1_1161
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1038,新管带机,简单运输,上级排放源名称1,新烧结矿管带机受料，自三车间,JSSG_QD_YS1_1369
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1039,G204-2,简单运输,上级排放源名称1,G204-1至G204-2皮带落料点,JSSG_QD_YS1_1149
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1040,G103-2,简单运输,上级排放源名称1,G102至G103-2落料点,JSSG_QD_YS1_1034
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1041,槽前7号（尾部）,简单运输,上级排放源名称1,槽前6#至槽前7#落料点,JSSG_QD_YS1_1194
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1042,槽前7号,简单运输,上级排放源名称1,槽前7号（尾部）,JSSG_QD_YS1_1041
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1043,槽前6号,简单运输,上级排放源名称1,Y208至槽前6#皮带落料点,JSSG_QD_YS1_1202
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1044,槽前5号,简单运输,上级排放源名称1,G204-2至槽5皮带落料点,JSSG_QD_YS1_1197
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1045,槽前4号,简单运输,上级排放源名称1,G204-2至槽4皮带落料点,JSSG_QD_YS1_1198
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1046,HK107,简单运输,上级排放源名称1,HK106至HK107皮带落料点,JSSG_QD_YS1_1146
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1047,HK106,简单运输,上级排放源名称1,缓冲仓至HK106皮带落料点,JSSG_QD_YS1_1147
