一级单位,二级单位,三级单位,清单ID,排放源名称,清单属性,上级排放源编号1,上级排放源名称1,上级排放源编号2,上级排放源名称2,上级排放源编号3,上级排放源名称3,上级排放源编号4,上级排放源名称4,上级排放源编号5,上级排放源名称5,上级排放源编号6,上级排放源名称6,上级排放源编号7,上级排放源名称7,上级排放源编号8,上级排放源名称8,上级排放源编号9,上级排放源名称9,上级排放源编号10,上级排放源名称10,上级排放源编号11,上级排放源名称11,上级排放源编号12,上级排放源名称12,上级排放源编号13,上级排放源名称13,上级排放源编号14,上级排放源名称14,上级排放源编号15,上级排放源名称15,上级排放源编号16,上级排放源名称16,上级排放源编号17,上级排放源名称17,上级排放源编号18,上级排放源名称18,上级排放源编号19,上级排放源名称19,上级排放源编号20,上级排放源名称20,上级排放源编号21,上级排放源名称21,上级排放源编号22,上级排放源名称22,上级排放源编号23,上级排放源名称23,上级排放源编号24,上级排放源名称24,上级排放源编号25,上级排放源名称25,上级排放源编号26,上级排放源名称26,上级排放源编号27,上级排放源名称27,上级排放源编号28,上级排放源名称28,上级排放源编号29,上级排放源名称29,上级排放源编号30,上级排放源名称30,上级排放源编号31,上级排放源名称31,上级排放源编号32,上级排放源名称32,上级排放源编号33,上级排放源名称33,上级排放源编号34,上级排放源名称34,上级排放源编号35,上级排放源名称35,上级排放源编号36,上级排放源名称36,上级排放源编号37,上级排放源名称37,上级排放源编号38,上级排放源名称38,上级排放源编号39,上级排放源名称39,上级排放源编号40,上级排放源名称40,上级排放源编号41,上级排放源名称41,上级排放源编号42,上级排放源名称42,上级排放源编号43,上级排放源名称43,上级排放源编号44,上级排放源名称44
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1011,桥基至BC-1落料点2,简单运输,JSSG_QD_YS1_0000,桥基,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1012,桥基至2BC落料点1,简单运输,JSSG_QD_YS1_0000,桥基,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1013,桥基至2BC落料点2,简单运输,JSSG_QD_YS1_0000,桥基,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1014,桥基至KY-1落料点1,简单运输,JSSG_QD_YS1_0000,桥基,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1015,桥基至KY-1落料点2,简单运输,JSSG_QD_YS1_0000,桥基,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1016,桥基至KY-1落料点3,简单运输,JSSG_QD_YS1_0000,桥基,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1017,5#炉矿石2#小车两侧落料点,简单运输,JSSG_QD_YS1_1195,槽前4#至5#炉矿石2#落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1018,5#炉矿石1#小车单侧卸料点,简单运输,JSSG_QD_YS1_1196,槽5至5#炉矿石1#落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1019,5#炉焦炭小车两侧落料点,简单运输,JSSG_QD_YS1_1193,槽前7#至5#炉焦炭落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1020,Y208头部,简单运输,JSSG_QD_YS1_1204,Y202至Y208皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1021,Y209头部,简单运输,JSSG_QD_YS1_1203,烧结矿管带机至Y209落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1023,Y204至Y202皮带落料点,简单运输,JSSG_QD_YS1_1070,Y204头部料斗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1024,Y205至Y202皮带落料点,简单运输,JSSG_QD_YS1_1069,Y205头部料斗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1025,8BC头轮,简单运输,JSSG_QD_YS1_1138,7BC至8BC皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1026,8BC小车顶部卸料点,简单运输,JSSG_QD_YS1_1025,8BC头轮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1027,9BC头轮,简单运输,JSSG_QD_YS1_1137,7BC至9BC皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1028,9BC小车顶部卸料点,简单运输,JSSG_QD_YS1_1027,9BC头轮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1029,7BC可逆皮带卸料点,简单运输,JSSG_QD_YS1_1139,6BC至7BC皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1030,7BC机头卸料点,简单运输,JSSG_QD_YS1_1139,6BC至7BC皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1031,M103皮带头轮,简单运输,JSSG_QD_YS1_1141,M102至M103皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1032,M103移动小车两侧落料点（至喷煤煤筒仓）,简单运输,JSSG_QD_YS1_1134,M103移动小车顶部卸料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1033,BY06至BY10落料点,简单运输,JSSG_QD_YS1_1062,BY06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1034,G102至G103-2落料点,简单运输,JSSG_QD_YS1_1054,G102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1035,G203至G204-2落料点,简单运输,JSSG_QD_YS1_1051,G203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1036,G202R机头,简单运输,JSSG_QD_YS1_1159,G201皮带至G202R皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1037,G101R机头,简单运输,JSSG_QD_YS1_1161,老Y102至G101R皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1038,新管带机,简单运输,JSSG_QD_YS1_1369,新烧结矿管带机受料，自三车间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1039,G204-2,简单运输,JSSG_QD_YS1_1149,G204-1至G204-2皮带落料点,JSSG_QD_YS1_1035,G203至G204-2落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1040,G103-2,简单运输,JSSG_QD_YS1_1034,G102至G103-2落料点,JSSG_QD_YS1_1150,G103-1至G103-2皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1041,槽前7号（尾部）,简单运输,JSSG_QD_YS1_1194,槽前6#至槽前7#落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1042,槽前7号,简单运输,JSSG_QD_YS1_1041,槽前7号（尾部）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1043,槽前6号,简单运输,JSSG_QD_YS1_1202,Y208至槽前6#皮带落料点,JSSG_QD_YS1_1199,G103-2至槽6皮带落料点,JSSG_QD_YS1_1202,Y208至槽前6#皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1044,槽前5号,简单运输,JSSG_QD_YS1_1197,G204-2至槽5皮带落料点,JSSG_QD_YS1_1200,G103-2至槽5皮带落料点,JSSG_QD_YS1_1201,Y209至槽前5#皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1045,槽前4号,简单运输,JSSG_QD_YS1_1198,G204-2至槽4皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1046,HK107,简单运输,JSSG_QD_YS1_1146,HK106至HK107皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1047,HK106,简单运输,JSSG_QD_YS1_1147,缓冲仓至HK106皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1048,HK105,简单运输,JSSG_QD_YS1_1148,缓冲仓至HK105皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1049,G301R,简单运输,JSSG_QD_YS1_1205,Y207皮带至G301R落料点,JSSG_QD_YS1_1163,Y201R至老G301R皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1050,G204-1,简单运输,JSSG_QD_YS1_1123,HC-1至G204-1皮带落料点,JSSG_QD_YS1_1151,J203至G103-1、G204-1皮带落料点,JSSG_QD_YS1_1360,G204-1受料，自HC-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1051,G203,简单运输,JSSG_QD_YS1_1156,G101R皮带至G203皮带落料点,JSSG_QD_YS1_1158,G202R皮带至G203皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1052,G201,简单运输,JSSG_QD_YS1_1160,老Y202至G201皮带落料点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
